"ID","Species","Owner","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","unit_of_measurement","altitude_low_meters","altitude_high_meters"
715,"Arabica","juan luis alvarado romero","Guatemala","finca loma linda y anexo","beneficio exportacafe agua santa","exportcafe","5500 metros","huehuetenango","AMANCIO DEL VALLE CARRILLO","275","69 kg","Asociacion Nacional Del CafÃ©","2015","March 10th, 2015","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.5","7.42","7.17","7.83","7.5","7.5","10","10","10","7.42","82.33","0.1","0","0","Green","6","March 9th, 2016","Asociacion Nacional Del CafÃ©","ft","1676.4","1676.4"
716,"Arabica","afca","Malawi","utchisi mountain","mzuzu coffee coop union","mzuzu coffee planters coop union","1450 m","mzuzu","Mzuzu Coffee Planters Coop Union","10","60 kg","Africa Fine Coffee Association","2014","November 4th, 2014","AFCA","Gesha","Washed / Wet","7.33","7.58","7.42","7.58","7.33","7.5","10","10","10","7.58","82.33","0.12","0","0","Green","0","November 4th, 2015","Africa Fine Coffee Association","m","1450","1450"
717,"Arabica","ipanema coffees","Brazil","rio verde","ipanema coffees","ipanema coffees","1100","south of minas","Ipanema AgrÃ­cola SA","10","2 kg","Specialty Coffee Association","2014/2015","October 15th, 2014","Ipanema Coffees","Bourbon","Natural / Dry","7.75","8.08","7.67","8.08","8.08","8","10","10","6.67","8","82.33","0.11","0","0","Blue-Green","0","October 15th, 2015","Specialty Coffee Association","m","1100","1100"
718,"Arabica","juan luis alvarado romero","Guatemala","el morito","el morito","armajaro guatemala, s. a.","5000 ft.","jalapa","ROBERTO MONTERROSO","250","69 kg","Asociacion Nacional Del CafÃ©","2014","June 10th, 2014","Juan Luis Alvarado Romero","Pacas","Washed / Wet","7.58","7.67","7.5","7.58","7.75","7.5","9.33","10","10","7.42","82.33","0.12","0","0","Green","3","June 10th, 2015","Asociacion Nacional Del CafÃ©","ft","1524","1524"
719,"Arabica","dane loraas","Mexico","NULL","NULL","sustainable harvest","NULL","veracruz","Huatusco","320","5 lbs","Specialty Coffee Association","2014","April 2nd, 2014","Dane Loraas","NULL","Washed / Wet","7.33","7.58","7.42","7.5","7.5","7.5","10","10","10","7.5","82.33","0.11","0","0","Green","0","April 2nd, 2015","Specialty Coffee Association","m","NULL","NULL"
720,"Arabica","the coffee source inc.","Colombia","several","antioquia","the coffee source inc.","1300","antioquia","SEVERAL","250","3 kg","Specialty Coffee Association of Costa Rica","2013","January 21st, 2014","The Coffee Source Inc.","Caturra","Washed / Wet","7.42","7.33","7.5","7.17","7.08","8.33","10","10","10","7.5","82.33","0.1","0","0","Green","2","January 21st, 2015","Specialty Coffee Association of Costa Rica","m","1300","1300"
721,"Arabica","cqi taiwan icp cqi??????","Taiwan","guo cun nong yuan ????","guo cun nong yuan ????","blossom valley????","200 m","changhua baguashan ??????","Zhang shui sheng ???","10","20 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Semi-washed / Semi-pulped","7.5","7.5","7.5","7.5","7.5","7.5","10","10","10","7.33","82.33","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","200","200"
722,"Arabica","cqi taiwan icp cqi??????","Taiwan","yu jin gui ?????","yu jin gui ?????","blossom valley????","600 m","taichung xinshe ??????","Lin yu ding ???","10","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","7.5","7.5","7.5","7.5","7.5","7.5","10","10","10","7.33","82.33","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","600","600"
723,"Arabica","juan luis alvarado romero","Guatemala","el morito","beneficio ixchel","unex guatemala, s.a.","4300","oriente","ROBERTO MONTERROSO","250","69 kg","Asociacion Nacional Del CafÃ©","2013","July 16th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.5","7.42","7.58","7.5","7.5","7.58","10","10","10","7.25","82.33","0.12","2","0","Green","1","July 16th, 2014","Asociacion Nacional Del CafÃ©","ft","1310.64","1310.64"
724,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora boananza","exportadora de cafe condor s.a","1750 msnm","huila","NULL","250","70 kg","AlmacafÃ©","2013","June 21st, 2013","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","7.5","7.42","7.5","7.5","7.5","7.58","10","10","10","7.33","82.33","0","0","0","Green","1","June 21st, 2014","AlmacafÃ©","m","1750","1750"
725,"Arabica","alfredo bojalil","Mexico","santa teresa","amsa tuxtla","ecomtrading","1300","la concordia, chiapas","AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV","250","1 kg","AMECAFE","2013","March 15th, 2013","ALFREDO BOJALIL","Typica","Washed / Wet","7.67","7.5","7.42","7.5","7.42","7.42","10","10","10","7.42","82.33","0.12","0","0","Green","3","March 15th, 2014","AMECAFE","m","1300","1300"
726,"Arabica","michael gavina","Costa Rica","NULL","NULL","f. gaviÃ±a & sons, inc.","NULL","central valley","NULL","275","1 kg","Specialty Coffee Association","2012","October 9th, 2012","Michael Gavina","NULL","Washed / Wet","7.92","7.58","7.25","7.75","7.92","7.58","9.33","9.33","10","7.67","82.33","0","0","0","Green","14","October 9th, 2013","Specialty Coffee Association","m","NULL","NULL"
727,"Arabica","juan luis alvarado romero","Guatemala","finca el morito","beneficio el morito","finca el morito","5500-6000 psnm","jalapa","CAFE MOLINO MONTERROSO P,J. ROBERTO","275","69 kg","Asociacion Nacional Del CafÃ©","2012","October 5th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.67","7.5","7.33","7.67","7.5","7.33","10","10","10","7.33","82.33","0.11","0","0","Green","3","October 5th, 2013","Asociacion Nacional Del CafÃ©","ft","1676.4","1828.8"
728,"Arabica","saul m. hernandez ramirez","Mexico","tepemalacax","en tlalnepantla","NULL","441","jaltocan, hidalgo","SALAZAR HERNANDEZ, ROBERTO","10","1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Typica","Natural / Dry","7.58","7.67","7.58","7.33","7","7.58","10","10","10","7.58","82.33","0.15","1","0","None","8","September 27th, 2013","AMECAFE","m","441","441"
729,"Arabica","manuel herrera juarez","Mexico","finca los barreales 1112lbga7250412","finca los barreales","finca los barreales","1170","veracruz","MANUEL HERRERA JUAREZ","10","1 kg","AMECAFE","2012","August 31st, 2012","MANUEL HERRERA JUAREZ","Bourbon","Washed / Wet","7.67","7.58","7.5","7.58","7.5","7.5","10","10","10","7","82.33","0.13","0","0","Green","9","August 31st, 2013","AMECAFE","m","1170","1170"
730,"Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral","beneficio ixchel","unex guatemala, s.a.","4300","oriente","AGROPECUARIA QUIAGRAL","250","1 kg","Asociacion Nacional Del CafÃ©","2012","May 23rd, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.5","7.67","7.33","7.5","7.33","7.5","10","10","10","7.5","82.33","0.1","2","0","Green","5","May 23rd, 2013","Asociacion Nacional Del CafÃ©","ft","1310.64","1310.64"
731,"Arabica","nucoffee","Brazil","sitÃ­o santa luzia","NULL","nucoffee","1100m","grama valley","JosÃ© Malagutti","16","60 kg","NUCOFFEE","2012","April 11th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry","7.58","7.5","7.42","7.5","7.5","7.42","10","10","10","7.42","82.33","0.12","0","0","Green","2","April 11th, 2013","NUCOFFEE","m","1100","1100"
732,"Arabica","maria luisa del carmen rojas narvaez","Mexico","cafetal santa maria","cafetal santa maria","eczcafe fino s.a. de c.v.","1200 a 1400","santa catarina juquila","MARIA LUISA DELCARMEN ROJAS NARVAEZ","10","1 kg","AMECAFE","2012","March 5th, 2012","MARIA LUISA DEL CARMEN ROJAS NARVAEZ","Typica","Washed / Wet","8","7.75","7.33","7.33","7.08","7.67","9.33","10","10","7.83","82.33","0.11","0","0","Green","0","March 5th, 2013","AMECAFE","m","1200","1400"
733,"Arabica","nucoffee","Brazil","cafÃ© citrus","NULL","nucoffee","950m","south of minas","JosÃ© Alberto dos Santos","44","60 kg","NUCOFFEE","2012","February 17th, 2012","NUCOFFEE","Mundo Novo","Washed / Wet","7.58","7.58","7.25","7.58","7.42","7.5","10","10","10","7.42","82.33","0.11","0","0","Green","2","February 16th, 2013","NUCOFFEE","m","950","950"
734,"Arabica","carcafe ltda ci","Colombia","NULL","NULL","carcafe ltda","442 msnm","huila","JAIME PULIDO / ERMILSON RAMOS","250","70 kg","AlmacafÃ©","2012","January 31st, 2012","CARCAFE LTDA CI","Caturra","Natural / Dry","7.83","7.58","7.33","7.25","7.58","7.42","10","10","10","7.33","82.33","0","0","0","Green","0","January 30th, 2013","AlmacafÃ©","m","442","442"
735,"Arabica","klem organics","Brazil","fazendas klem ltda","dry mill","klem organics coffee","1100","brazil matas de minas","NAGIPE VIANA KLEM","1062","5 kg","Specialty Coffee Association","NULL","November 15th, 2017","KlemOrganics","Catuai","Washed / Wet","7.58","7.5","7.25","7.42","7.67","7.33","10","10","10","7.5","82.25","0.09","2","6","Green","10","November 15th, 2018","Specialty Coffee Association","m","1100","1100"
736,"Arabica","cqi taiwan icp cqi??????","Taiwan","????        ","????????????4?88?        ","????","NULL","NULL","???0918232039        ","1","10 kg","Blossom Valley International","2016/2017","February 13th, 2017","CQI Taiwan ICP CQI??????","NULL","NULL","7","7.08","7","7.17","7","7","10","10","10","10","82.25","0.1","0","0","Blue-Green","0","February 13th, 2018","Blossom Valley International","m","NULL","NULL"
737,"Arabica","juan luis alvarado romero","Guatemala","linda vista","beneficio humedo","mercon guatemala s.a.","1450","nuevo oriente","PABLO CHUY","275","69 kg","Asociacion Nacional Del CafÃ©","2016","August 31st, 2016","Juan Luis Alvarado Romero","Pacas","Washed / Wet","7.67","7.5","7.25","7.67","7.42","7.42","10","10","10","7.33","82.25","0.11","0","2","Green","2","August 31st, 2017","Asociacion Nacional Del CafÃ©","m","1450","1450"
738,"Arabica","ipanema coffees","Brazil","rio verde","ipanema comercial e exportadora sa","ipanema coffees","1","south of minas","Ipanema AgrÃ­cola SA","180","2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry","7.42","7.67","7.5","7.08","7.5","7.42","10","10","10","7.67","82.25","0","0","0","Green","9","October 7th, 2016","Brazil Specialty Coffee Association","m","1","1"
739,"Arabica","consejo salvadoreÃ±o del cafÃ©","El Salvador","zapato de mico","tuxpal","consejo salvadoreÃ±o del cafÃ©","1500","apaneca","Tropical Farm Management El Salvador, S.A. de C.V.","275","1 kg","Salvadoran Coffee Council","2014","July 8th, 2015","Consejo SalvadoreÃ±o del CafÃ©","Bourbon","Washed / Wet","7.58","7.67","7.5","7.67","7.83","8.42","9.33","9.33","9.33","7.58","82.25","0.12","0","0","Green","0","July 7th, 2016","Salvadoran Coffee Council","m","1500","1500"
740,"Arabica","cadexsa","Honduras","bethel","cadexsa","cadexsa","1350","marcala","Omar Acosta","275","1 kg","Instituto HondureÃ±o del CafÃ©","2015","April 15th, 2015","CADEXSA","Catuai","Washed / Wet","7.58","7.5","7.42","7.58","7.42","7.42","10","10","10","7.33","82.25","0.11","0","0","Green","2","April 14th, 2016","Instituto HondureÃ±o del CafÃ©","m","1350","1350"
741,"Arabica","afca","Malawi","kachere","mzuzu coffee coop union","mzuzu coffee planters coop union","1180m","mzuzu","Mzuzu Coffee Coop Union","10","60 kg","Africa Fine Coffee Association","2014","November 4th, 2014","AFCA","Gesha","Washed / Wet","7.58","7.42","7.33","7.42","7.58","7.5","10","10","10","7.42","82.25","0.13","0","0","Blue-Green","0","November 4th, 2015","Africa Fine Coffee Association","m","1180","1180"
742,"Arabica","ipanema coffees","Brazil","rio verde","ipanema coffees","ipanema coffees","1100","south of minas","Ipanema AgrÃ­cola SA","320","2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Natural / Dry","7.75","7.58","7.42","7.42","7.33","7.33","10","10","10","7.42","82.25","0.11","0","0","Green","0","October 16th, 2015","Specialty Coffee Association","m","1100","1100"
743,"Arabica","cqi taiwan icp cqi??????","Taiwan","guo xing ka fei wang ?????????","guo xin ka fei ????","blossom valley????","650 m","nantou","Lin yu tang ???","35","60 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","7.5","7.5","7.5","7.5","7.5","7.5","10","10","10","7.25","82.25","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","650","650"
744,"Arabica","jesus carlos cardenas valdivia","Mexico","finca huehuetecpan","cosautlan de carvajal, veracruz, mÃ©xico","NULL","1338","veracruz","MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ","150","1 kg","AMECAFE","2013","July 19th, 2013","JESUS CARLOS CARDENAS VALDIVIA","Mundo Novo","Washed / Wet","7.58","7.58","7.42","7.42","7.42","7.42","10","10","10","7.42","82.25","0.12","0","0","Blue-Green","4","July 19th, 2014","AMECAFE","m","1338","1338"
745,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","6","100 lbs","Specialty Coffee Association","2013","May 3rd, 2013","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry","7.33","7.42","7.5","7.67","7.5","7.42","10","10","10","7.42","82.25","0","0","0","Bluish-Green","1","May 3rd, 2014","Specialty Coffee Association","ft","NULL","NULL"
746,"Arabica","saul m. hernandez ramirez","Mexico","omicuatla","comitla","NULL","533","calnali, hidalgo","FELIX DE LA CRUZ CASIMIRO","10","1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Bourbon","Washed / Wet","7.58","7.58","7.5","7.17","7.42","7.42","10","10","10","7.58","82.25","0.16","3","0","None","8","September 27th, 2013","AMECAFE","m","533","533"
747,"Arabica","juan luis alvarado romero","Guatemala","finca medina","finca medina","siembras vision, s.a. / ing. jorge bolaÃ±os","4563","antigua","SIEMBRAS VISION, S.A.","275","69 kg","Asociacion Nacional Del CafÃ©","2012","September 19th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.5","7.5","7.33","7.58","7.67","7.33","10","10","10","7.33","82.25","0.11","0","0","Green","2","September 19th, 2013","Asociacion Nacional Del CafÃ©","ft","1390.8024","1390.8024"
748,"Arabica","manuel herrera juarez","Mexico","los barreales 1112lbgr7230412","finca los barreales","finca los barreales","1170","veracruz","MANUEL HERRERA JUAREZ","10","1 kg","AMECAFE","2012","August 31st, 2012","MANUEL HERRERA JUAREZ","Bourbon","Washed / Wet","7.5","7.58","7.42","7.67","7.33","7.42","10","10","10","7.33","82.25","0.13","0","0","Green","3","August 31st, 2013","AMECAFE","m","1170","1170"
749,"Arabica","guillermo rojas saldana","Mexico","jamaica","finca jamaica, san gabriel mixtepec, juquila, oaxaca","NULL","1250","juquila","GUILLERMO ROJAS SALDAÃ‘A","40","1 kg","AMECAFE","2012","August 30th, 2012","GUILLERMO ROJAS SALDANA","Typica","Washed / Wet","7.67","7.58","7.33","7.5","7.42","7.42","10","10","10","7.33","82.25","0.12","0","0","Green","13","August 30th, 2013","AMECAFE","m","1250","1250"
750,"Arabica","adam kline","El Salvador","NULL","NULL","atlantic specialty coffee","NULL","NULL","NULL","288","1 kg","Specialty Coffee Association","2012","August 21st, 2012","Adam Kline","Other","Washed / Wet","7.75","7.33","7.33","7.5","7.5","7.5","10","10","10","7.33","82.25","0","2","0","Green","5","August 21st, 2013","Specialty Coffee Association","m","NULL","NULL"
751,"Arabica","sergio de la vequia bernardi","Mexico","chilcuatla","cafetalera la cuchilla","NULL","1100","veracruz","SERGIO DE LA VEQUIA BERNARDI","250","1 kg","AMECAFE","2012","July 11th, 2012","SERGIO DE LA VEQUIA BERNARDI","Typica","Washed / Wet","7.33","7.58","7.42","7.67","7.33","7.5","10","10","10","7.42","82.25","0.11","0","0","Green","0","July 11th, 2013","AMECAFE","m","1100","1100"
752,"Arabica","organizaciones de productores de cafe colimense","Mexico","comunidad de canoas","productos organicos de canoas spr de rl","organizaciones de productores de cafe colimense sa de cv","900","canoas","COOP","250","1 kg","AMECAFE","2012","April 2nd, 2012","ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE","Typica","Washed / Wet","7.42","7.5","7.42","7.58","7.42","7.5","10","10","10","7.42","82.25","0.1","0","0","Green","3","April 2nd, 2013","AMECAFE","m","900","900"
753,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora boananza","exportadora de cafe condor s.a","1750","huila","NULL","250","70 kg","AlmacafÃ©","2012","February 22nd, 2012","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","7.5","7.42","7.67","7.33","7.58","7.33","10","10","10","7.42","82.25","0.12","0","0","Green","1","February 21st, 2013","AlmacafÃ©","m","1750","1750"
754,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","c.i.racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata","100","70 kg","AlmacafÃ©","2012","February 9th, 2012","Racafe & Cia S.C.A","Caturra","Washed / Wet","7.67","7.33","7.33","7.33","7.5","7.5","10","10","10","7.58","82.25","0.11","0","0","Green","0","February 8th, 2013","AlmacafÃ©","m","1600","1950"
755,"Arabica","nucoffee","Brazil","caxambu","NULL","nucoffee","NULL","NULL","Carmem Lucia Chaves de Brito","84","60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Arusha","Natural / Dry","7.67","7.58","7.42","7","7.5","7.58","10","10","10","7.5","82.25","0.12","0","0","Green","1","January 22nd, 2013","NUCOFFEE","m","NULL","NULL"
756,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","NULL","NULL","cauca","NULL","149","70 kg","AlmacafÃ©","NULL","March 1st, 2011","Racafe & Cia S.C.A","NULL","NULL","7.17","7.25","7.58","7.25","7.58","7.67","10","10","10","7.75","82.25","0.22","0","0","NULL","2","February 29th, 2012","AlmacafÃ©","m","NULL","NULL"
757,"Arabica","ipanema coffees","Brazil","fazenda capoeirnha","dry mill","ipanema coffees","934","south of minas","Ipanema Agricola","320","60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry","7.42","7.42","7.5","7.42","7.42","7.5","10","10","10","7.5","82.17","0.11","0","1","Green","5","August 16th, 2017","Brazil Specialty Coffee Association","m","934","934"
758,"Arabica","bismarck castro","Honduras","las cuchillas","dry mill","cigrah s.a de c.v","1500","comayagua","Nahun Maldonado","200","69 kg","Instituto HondureÃ±o del CafÃ©","2015","June 9th, 2016","Bismarck Castro","Caturra","Washed / Wet","7.5","7.5","7.17","7.42","7.5","7.5","10","10","10","7.58","82.17","0.11","0","1","Bluish-Green","2","June 9th, 2017","Instituto HondureÃ±o del CafÃ©","m","1500","1500"
759,"Arabica","bencafe, s. a.","Nicaragua","el brigadum - la coronela","dry mill","beneficiadora norteÃ±a de cafe, s. a. (bencafe)","1000","jinotega","MARCIO ALBERTO RIVERA CASTELLON","275","69 kg","Instituto HondureÃ±o del CafÃ©","NULL","March 15th, 2016","BENCAFE, S. A.","NULL","NULL","7.5","7.5","7.33","7.42","7.5","7.42","10","10","10","7.5","82.17","0.1","0","0","Green","1","March 15th, 2017","Instituto HondureÃ±o del CafÃ©","m","1000","1000"
760,"Arabica","langiro farm group","Tanzania, United Republic Of","langiro farm group","mbinga","tawoca","1500-1800","ruvuma","Langiro farm group","30","80 kg","Africa Fine Coffee Association","2015","November 16th, 2015","Langiro Farm group","Bourbon","Washed / Wet","7.58","7.42","7.42","7.33","7.5","7.42","10","10","10","7.5","82.17","0.13","1","0","Green","6","November 15th, 2016","Africa Fine Coffee Association","m","1500","1800"
761,"Arabica","ibero coffee trading co (t) ltd","Tanzania, United Republic Of","NULL","NULL","ibero tanzania","1600","northern","NULL","300","60 kg","Tanzanian Coffee Board","2015/2016","October 20th, 2015","IBERO COFFEE TRADING CO (T) LTD","Other","Washed / Wet","7.42","7.42","7.42","7.5","7.5","7.33","10","10","10","7.58","82.17","0.12","0","0","Green","1","October 19th, 2016","Tanzanian Coffee Board","m","1600","1600"
762,"Arabica","ipanema coffees","Brazil","rio verde","ipanema comercial e exportadora sa","ipanema coffees","1","south of minas","Ipanema AgrÃ­cola SA","320","2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry","6.92","7.58","7.42","7.33","7.83","7.5","10","10","10","7.58","82.17","0","0","0","Green","1","October 7th, 2016","Brazil Specialty Coffee Association","m","1","1"
763,"Arabica","doi tung development project","Thailand","NULL","NULL","doi tung development project","800++","thailand","Doi Tung Development Project","1","1 kg","Specialty Coffee Association","2014","June 9th, 2015","Doi Tung Development Project","NULL","Washed / Wet","7.42","7.42","7.17","7.75","7.25","7.67","10","10","10","7.5","82.17","0.12","0","0","Bluish-Green","0","June 8th, 2016","Specialty Coffee Association","m","800","800"
764,"Arabica","cadexsa","Honduras","bethel","cadexsa","cadexsa","1350","marcala","Omar Acosta","275","1 kg","Instituto HondureÃ±o del CafÃ©","2015","April 15th, 2015","CADEXSA","Catuai","Washed / Wet","7.67","7.5","7.25","7.42","7.58","7.42","10","10","10","7.33","82.17","0.11","0","0","Green","2","April 14th, 2016","Instituto HondureÃ±o del CafÃ©","m","1350","1350"
765,"Arabica","essencecoffee","Guatemala","blue lake","NULL","essence coffee","1500","atitlan","NULL","250","69 kg","Blossom Valley International","2014","March 21st, 2015","EssenceCoffee","Bourbon","Washed / Wet","7.42","7.42","7.5","7.5","7.42","7.5","10","10","10","7.42","82.17","0.09","0","0","Blue-Green","4","March 20th, 2016","Blossom Valley International","m","1500","1500"
766,"Arabica","bourbon specialty coffees","Brazil","NULL","NULL","bourbon specialty coffees","NULL","cerrado","NULL","300","60 kg","Brazil Specialty Coffee Association","2014","January 15th, 2015","BOURBON SPECIALTY COFFEES","Mundo Novo","Natural / Dry","7.58","7.5","7.42","7.25","7.5","7.42","10","10","10","7.5","82.17","0.12","0","0","Green","1","January 15th, 2016","Brazil Specialty Coffee Association","m","NULL","NULL"
767,"Arabica","tembo coffee company ltd","Tanzania, United Republic Of","ilomba 2","tembo coffee company ltd","tembo coffee company ltd","1700","ilomba vilage, mbozi","Tembo Coffee Company Ltd","10","60 kg","Africa Fine Coffee Association","2014","December 15th, 2014","Tembo Coffee Company Ltd","Other","Washed / Wet","7.75","7.42","7.42","7.58","7.33","7.42","10","10","10","7.25","82.17","0.12","0","0","Green","1","December 15th, 2015","Africa Fine Coffee Association","m","1700","1700"
768,"Arabica","j.andrade","Mexico","el pino","el pino, cosautlan de carvajal","cafÃ© andrade, s.a. de c.v.","1100","veracruz","JOSÃ‰ LUIS ANDRADE SANDARA","200","1 kg","AMECAFE","2013","July 15th, 2014","J.ANDRADE","Other","Washed / Wet","7.42","7.33","7.17","7.42","7.33","8.17","10","10","10","7.33","82.17","0.12","0","0","Green","0","July 15th, 2015","AMECAFE","m","1100","1100"
769,"Arabica","lusso lab","Mexico","NULL","NULL","lusso coffee lab","1200-1600m","la concordia, chiapas","Union Ramal Santa Cruz","2","2 kg","Specialty Coffee Association","2013","April 10th, 2014","LUSSO LAB","Other","Washed / Wet","7.5","7.5","7.33","7.42","7.5","7.42","10","10","10","7.5","82.17","0.1","1","0","None","1","April 10th, 2015","Specialty Coffee Association","m","1200","1600"
770,"Arabica","cqi taiwan icp cqi??????","Taiwan","song yue coffee ????","song yue coffee ????","blossom valley????","1200 m","yunlin ?????","Guo Zhang Sheng ???","60","60 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Other","7.5","7.5","7.5","7.5","7.5","7.5","10","10","10","7.17","82.17","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","1200","1200"
771,"Arabica","lin, che-hao krude ???","Taiwan","kan tou mountain coffee ??????","kan tou mountain coffee ??????","red on tree co., ltd.","800 m","dongshan dist., tainan city ??????","Jufeng-Tseng ???","80","10 kg","Specialty Coffee Association","2012","May 29th, 2013","Lin, Che-Hao Krude ???","Typica","Washed / Wet","7.67","7.5","7.5","7.17","7.17","7.58","10","10","10","7.58","82.17","0","0","0","Green","0","May 29th, 2014","Specialty Coffee Association","m","800","800"
772,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","triladora bonanza","exportadora de cafe condor s.a","1750 msnm","huila","NULL","250","70 kg","AlmacafÃ©","2013","March 20th, 2013","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","7.33","7.25","7.25","7.58","7.75","7.5","10","10","10","7.5","82.17","0","0","0","Bluish-Green","1","March 20th, 2014","AlmacafÃ©","m","1750","1750"
773,"Arabica","saul m. hernandez ramirez","Mexico","el nanchi","buenas vista, municipio de san bartolo tutotepec","NULL","1144","san bartolo tutotepec","AVILA MARTINEZ ADOLFO","10","1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Typica","Washed / Wet","7.5","7.67","7","7.5","7.33","7.5","10","10","10","7.67","82.17","0.15","1","0","None","9","September 27th, 2013","AMECAFE","m","1144","1144"
774,"Arabica","the coffee source inc.","Guatemala","NULL","NULL","the coffee source inc.","1350","oriente","Several producers","250","1 kg","Specialty Coffee Association","2012","August 2nd, 2012","The Coffee Source Inc.","Caturra","Washed / Wet","7.25","7.75","7","7.75","8.17","7.75","10","10","9.33","7.17","82.17","0.12","0","0","None","2","August 2nd, 2013","Specialty Coffee Association","m","1350","1350"
775,"Arabica","salvador caro carrion","Mexico","las truchas","las truchas","NULL","1000","altotonga","SALVADOR CARO CARRION","200","1 kg","AMECAFE","2012","July 11th, 2012","SALVADOR CARO CARRION","Typica","Washed / Wet","7.5","7.58","7.25","7.5","7.5","7.33","10","10","10","7.5","82.17","0.12","0","0","Green","4","July 11th, 2013","AMECAFE","m","1000","1000"
776,"Arabica","organizaciones de productores de cafe colimense","Mexico","la calera, barranca de la leona, el nogal","beneficio productores organicos de cnoas s.p.r. de r.l.","organizaciones de productores de cafe colimense sa de cv","1200","colima","OSCAR TORRES OCHOCA, GENARO MATA CAMBEROS, MANUEL DUARTE MUNGUIA","60","1 kg","AMECAFE","2012","July 2nd, 2012","ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE","Typica","Washed / Wet","7","7.67","7.5","7.5","7.42","7.5","10","10","10","7.58","82.17","0.1","0","0","Green","1","July 2nd, 2013","AMECAFE","m","1200","1200"
777,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora bonanza - armenia quindioa","NULL","1800 msnm","huila","NULL","250","70 kg","AlmacafÃ©","4T/10","February 9th, 2011","Exportadora de Cafe Condor S.A","NULL","NULL","7.58","7.67","7.42","7.17","7.17","7.75","10","10","10","7.42","82.17","0.08","0","0","NULL","0","February 9th, 2012","AlmacafÃ©","m","1800","1800"
778,"Arabica","sanjava coffee","Indonesia","various","bener meriah - gayo","pt. shriya artha nusantara","1300","aceh gayo","Various Farms","2","1 kg","Specialty Coffee Association of Indonesia","2017","August 3rd, 2017","SanJava Coffee","Bourbon","Washed / Wet","7.5","7.5","7.42","7.42","7.5","7.42","10","10","10","7.33","82.08","0.15","0","0","NULL","3","August 3rd, 2018","Specialty Coffee Association of Indonesia","m","1300","1300"
